cell,route,tiles,scored_px,macro_iou_present_classes,macro_f1_present_classes,overall_accuracy,n_classes_present,iou_unknown,iou_asfalt,iou_fliser,iou_grus,iou_ubefestet,iou_green_roof,iou_drivhus,iou_betonflade,iou_brosten,iou_unknown2,iou_solceller
convnext_upernet_10ch_unw,82-20,608,316377560,0.3618057543372558,0.4682737161976007,0.8480641831866963,8,,0.6713482304611463,0.4602810033573466,0.5081147478303399,0.8372888877712054,,0.20763415290739412,0.08642057762134701,0.11114892300552999,,0.01220951174373688
convnext_upernet_10ch_unw,82-21,313,194724135,0.6300488987383249,0.7437790557605819,0.9659161305299931,8,,0.8948125978482291,0.7661008629821084,0.8137090511712958,0.9762196280613069,,0.34502988404439916,0.5044212003254394,0.4543490561185124,,0.2857489093553078
convnext_upernet_10ch_unw,82-22,1360,1014086946,0.26980545440212905,0.34522678500850196,0.923123938921111,7,,0.4197072990004136,0.22806459845781815,0.2709073613998414,0.9397494642514373,,0.03020945770539289,0.0,0.0,,0.0
convnext_upernet_10ch_unw,82-24,1529,642911577,0.22083522131031194,0.27902900808249503,0.8084341044616156,8,,0.5431398795124388,0.1347875072686082,0.07585276197655977,0.9017981272567525,0.0037447327480396833,0.0,0.0,0.10735876172009667,,0.0
convnext_upernet_10ch_unw,83-25,3630,2887492462,0.34493396941727816,0.44781979250779186,0.9929129324944365,6,,0.41870631511479495,0.07237895972340941,0.2806652831772089,0.9944969476672302,,0.16795476943824889,0.0,0.1354015413827767,,0.0
convnext_upernet_10ch_unw,83-26,1228,946025258,0.5261688163181081,0.6049397996015812,0.9942755714456833,3,,0.5048338190176026,0.0,0.07908948334538751,0.9945831465913341,,,0.0,,,0.0
convnext_upernet_10ch_unw,83-31,1020,836776918,0.9994866003223095,0.999743234249428,0.9994866003223095,1,,0.0,0.0,0.0,0.9994866003223095,,,,,,0.0
convnext_upernet_10ch_unw,83-34,10,1067196,0.29717147443012654,0.43925692755527945,0.42872630707011644,2,,0.0,0.0,0.1543244982771918,0.44001845058306127,,,,,,
convnext_upernet_10ch_unw,84-40,5269,2226168062,0.2301447372614126,0.3095912821385933,0.8085364720320922,9,,0.5540971261384595,0.18787791468030443,0.1481248839718599,0.8686430437799046,0.0,0.08087343832055031,0.10034660614607088,0.012564254515501463,,0.11877536780006209
convnext_upernet_10ch_unw,84-41,343,181155748,0.5573329032730197,0.6170409702238633,0.9867073331838193,5,,0.9395747392549032,0.007586780295156932,0.1778821784302689,0.9864916822089993,,,,0.0,,0.6751291361757696
