cell,class,index,support_pixels,predicted_pixels,present,in_macro,iou,precision,recall,f1
segformer_b1_rgb_unw,ubefestet,4,10667088919,10713941124,True,True,0.949106122149489,0.9717591922059176,0.97602737270292,0.9738886060270618
segformer_b1_rgb_unw,green_roof,5,1430413,0,True,True,0.0,,0.0,0.0
segformer_b1_rgb_unw,drivhus,6,531496,7658,True,True,0.0026761388467868665,0.18790806999216506,0.0027074521727350723,0.005337992484522047
segformer_b1_rgb_unw,betonflade,7,89260373,12552510,True,True,0.006959663619917781,0.05605938573241527,0.007883520719771135,0.013823122953899656
segformer_b1_rgb_unw,brosten,8,120321684,58226888,True,True,0.0470841838431337,0.13788792902687844,0.0667276648155955,0.08993390325182775
segformer_b1_rgb_unw,unknown2,9,0,0,False,False,,,,
segformer_b1_rgb_unw,solceller,10,58625774,41681107,True,True,0.5677457425259762,0.8715047083562344,0.6196128173932509,0.7242829332914857
swin_upernet_10ch,asfalt,1,818756115,909026412,True,True,0.5519892703729311,0.676012143198321,0.750544492727239,0.7113312970782231
swin_upernet_10ch,fliser,2,231902162,138556671,True,True,0.17608343964631798,0.4003067308105288,0.23917486375137806,0.2994403861332684
swin_upernet_10ch,grus,3,206716845,172380738,True,True,0.2510254175566502,0.441279593547163,0.36798211582611956,0.4013114586383422
swin_upernet_10ch,ubefestet,4,10667088919,10845599561,True,True,0.9593881005774948,0.9712141120235852,0.987467098754387,0.9792731723692026
swin_upernet_10ch,green_roof,5,1430413,16448,True,True,0.0,0.0,0.0,0.0
swin_upernet_10ch,drivhus,6,531496,433927,True,True,0.12879192676940993,0.25384914974177686,0.20724897271098935,0.22819427339104206
swin_upernet_10ch,betonflade,7,89260373,60386652,True,True,0.06733314988484733,0.1563349463388035,0.10576411102382464,0.12617082097021307
swin_upernet_10ch,brosten,8,120321684,5877675,True,True,0.017857694189925853,0.3766950367279579,0.018401429620948456,0.03508878361260139
swin_upernet_10ch,unknown2,9,0,0,False,False,,,,
swin_upernet_10ch,solceller,10,58625774,62355697,True,True,0.6683499034125684,0.7772477469059483,0.8266982539113258,0.8012107077124232
swin_upernet_10ch_unw,asfalt,1,818756115,795501403,True,True,0.5311185871484531,0.7039057931114673,0.6839131161786803,0.6937654491382087
swin_upernet_10ch_unw,fliser,2,231902162,157550359,True,True,0.1810978087649227,0.3790202851902102,0.2574998934248832,0.30666013842544876
swin_upernet_10ch_unw,grus,3,206716845,150644117,True,True,0.2147592264022353,0.41938853808675447,0.30562780696464287,0.3535831986035453
swin_upernet_10ch_unw,ubefestet,4,10667088919,10942144922,True,True,0.9559357334709743,0.9651860177583563,0.9900738020650224,0.977471516177666
swin_upernet_10ch_unw,green_roof,5,1430413,621,True,True,0.0,0.0,0.0,0.0
swin_upernet_10ch_unw,drivhus,6,531496,159369,True,True,0.020103359173126615,0.08543066719374533,0.025616373406384996,0.039414357363594915
swin_upernet_10ch_unw,betonflade,7,89260373,66393643,True,True,0.05228923182048919,0.11649598742457919,0.0866520353886489,0.09938186239923293
swin_upernet_10ch_unw,brosten,8,120321684,29648674,True,True,0.021407532452904436,0.1060150953125256,0.026123362768094235,0.04191771016509809
swin_upernet_10ch_unw,unknown2,9,0,0,False,False,,,,
swin_upernet_10ch_unw,solceller,10,58625774,52590673,True,True,0.73475401674988,0.8957036735392224,0.8034974344219319,0.8470987928610955
swin_upernet_6ch,asfalt,1,818756115,830418880,True,True,0.514524040623071,0.6746818497190237,0.6842923499875173,0.6794531177087123
swin_upernet_6ch,fliser,2,231902162,168126014,True,True,0.15955070760424084,0.32738943064456405,0.2373530264888173,0.2751940153335599
swin_upernet_6ch,grus,3,206716845,133806807,True,True,0.17397806713796585,0.37714086548676107,0.2441214454487248,0.29639066011191495
swin_upernet_6ch,ubefestet,4,10667088919,10955790648,True,True,0.9510196458827521,0.9620500147950618,0.9880876249401405,0.9748949969721672
swin_upernet_6ch,green_roof,5,1430413,370264,True,True,0.0034779730232786235,0.01685554091134974,0.004363075559296511,0.006931837303414216
swin_upernet_6ch,drivhus,6,531496,407764,True,True,0.08801694010149697,0.18634062840270352,0.1429606243508888,0.1617933266614143
swin_upernet_6ch,betonflade,7,89260373,37060211,True,True,0.032791569398677715,0.10822204978811373,0.04493295137809922,0.06350084638620733
swin_upernet_6ch,brosten,8,120321684,7023700,True,True,0.01246634937966876,0.2232420234349417,0.01303160783554193,0.024625706103332336
swin_upernet_6ch,unknown2,9,0,0,False,False,,,,
swin_upernet_6ch,solceller,10,58625774,61629493,True,True,0.7243464618820693,0.8196667624703646,0.8616627731004456,0.840140282587373
swin_upernet_6ch_corrected,asfalt,1,818756115,687093256,True,True,0.5271594811542635,0.7565253325670831,0.6348697059807609,0.6903790830749698
swin_upernet_6ch_corrected,fliser,2,231902162,206685268,True,True,0.16333888497424479,0.297940814049698,0.26554291891422727,0.2808104965525346
swin_upernet_6ch_corrected,grus,3,206716845,168924845,True,True,0.16212866549684812,0.3102314700954735,0.25351491311702246,0.27902016413566877
swin_upernet_6ch_corrected,ubefestet,4,10667088919,11040528473,True,True,0.9539357770144096,0.9599113976217359,0.9935165252183458,0.97642490427399
swin_upernet_6ch_corrected,green_roof,5,1430413,165233,True,True,0.0,0.0,0.0,0.0
swin_upernet_6ch_corrected,drivhus,6,531496,602227,True,True,0.0907139668588229,0.1565705290529983,0.17740679139636045,0.16633869119705608
swin_upernet_6ch_corrected,betonflade,7,89260373,17506172,True,True,0.007691729489223163,0.04655221027189725,0.009130042510577453,0.01526603675336689
swin_upernet_6ch_corrected,brosten,8,120321684,21763068,True,True,0.058892817025282325,0.36310955789873006,0.06567708942637472,0.11123470870399943
swin_upernet_6ch_corrected,unknown2,9,0,0,False,False,,,,
swin_upernet_6ch_corrected,solceller,10,58625774,51365239,True,True,0.6959613132568354,0.8787332226761371,0.7699061167192437,0.8207278170990207
swin_upernet_6ch_unw,asfalt,1,818756115,852725567,True,True,0.5398567418401244,0.6872117040675056,0.7157234972223688,0.7011778786577214
swin_upernet_6ch_unw,fliser,2,231902162,145053549,True,True,0.15703003144351443,0.3526956103638664,0.2206091981151948,0.2714363969405414
swin_upernet_6ch_unw,grus,3,206716845,158229645,True,True,0.17987430297798515,0.35162093045206544,0.2691452406793457,0.3049041792400853
swin_upernet_6ch_unw,ubefestet,4,10667088919,10927497707,True,True,0.9555974884616091,0.965649899815623,0.9892236903739267,0.977294657105885
swin_upernet_6ch_unw,green_roof,5,1430413,7546,True,True,0.0010714136533882847,0.20394911211237743,0.0010759130404994922,0.0021405339095203688
swin_upernet_6ch_unw,drivhus,6,531496,40062,True,True,0.01264840481982357,0.17819879187259746,0.013431897888224935,0.024980841839323392
swin_upernet_6ch_unw,betonflade,7,89260373,50455903,True,True,0.10204950703661432,0.25641582512159183,0.14494328855202074,0.1851994967286417
swin_upernet_6ch_unw,brosten,8,120321684,9019247,True,True,0.02934824699172673,0.40887027486884436,0.030648690056565366,0.057022969782087
swin_upernet_6ch_unw,unknown2,9,0,0,False,False,,,,
swin_upernet_6ch_unw,solceller,10,58625774,51604555,True,True,0.6957727924151692,0.8764211415058225,0.7714580109424227,0.8205967161723703
swin_upernet_rgb,asfalt,1,818756115,1043438730,True,True,0.49467308499569596,0.5906500355799521,0.7527359023144518,0.6619147557569358
swin_upernet_rgb,fliser,2,231902162,220342630,True,True,0.20244376717269336,0.34555300987375887,0.3283283706514129,0.33672055641936505
swin_upernet_rgb,grus,3,206716845,105277907,True,True,0.2183341981438819,0.5310866409986665,0.2704747646472642,0.35841429794306284
swin_upernet_rgb,ubefestet,4,10667088919,10730550124,True,True,0.9434721814107448,0.9680429810179972,0.9738021131048941,0.9709140068327491
swin_upernet_rgb,green_roof,5,1430413,120391,True,True,0.020314120142533067,0.25646435364769793,0.02158537429399761,0.039819345320233894
swin_upernet_rgb,drivhus,6,531496,522572,True,True,0.11304608600524597,0.20486363601570692,0.20142390535394433,0.20312920988019748
swin_upernet_rgb,betonflade,7,89260373,20820559,True,True,0.030183223853428552,0.1549069359761186,0.03613304416731487,0.05859777786038367
swin_upernet_rgb,brosten,8,120321684,27910258,True,True,0.07440270645910876,0.3677897208975997,0.08531384916454461,0.13850059388684255
swin_upernet_rgb,unknown2,9,0,0,False,False,,,,
swin_upernet_rgb,solceller,10,58625774,45650610,True,True,0.586677895119967,0.844598549723651,0.6576704471313248,0.7395047185372289
swin_upernet_rgb_unw,asfalt,1,818756115,997957625,True,True,0.5401231524261352,0.6384277328408609,0.7781606907448868,0.7014025489783547
swin_upernet_rgb_unw,fliser,2,231902162,186793840,True,True,0.2046897965652536,0.3808528643128703,0.30677147805116195,0.33982158253328626
swin_upernet_rgb_unw,grus,3,206716845,96493913,True,True,0.20696852308319041,0.5388315841228244,0.2515226468360621,0.34295595804684476
swin_upernet_rgb_unw,ubefestet,4,10667088919,10783274545,True,True,0.9537667882024125,0.9710765473235013,0.9816534851742525,0.9763363713229433
swin_upernet_rgb_unw,green_roof,5,1430413,124443,True,True,0.008515120695738808,0.10549408162773317,0.009177768938061945,0.016886451221206338
swin_upernet_rgb_unw,drivhus,6,531496,70952,True,True,0.036466111084348954,0.29873717442778214,0.03987988620798651,0.07036623907789552
swin_upernet_rgb_unw,betonflade,7,89260373,30614578,True,True,0.08700000688244706,0.31339344282321974,0.10748787706724013,0.1600736087057921
swin_upernet_rgb_unw,brosten,8,120321684,45407795,True,True,0.09083455911916369,0.3039216064114102,0.11469595123020386,0.1665414032949443
swin_upernet_rgb_unw,unknown2,9,0,0,False,False,,,,
swin_upernet_rgb_unw,solceller,10,58625774,53896090,True,True,0.7365683899754376,0.8855250353040452,0.8140845526406184,0.8483033484052486
unet_resnet34_10ch,asfalt,1,818756115,771232443,True,True,0.5119837585529804,0.6981002068659086,0.6575798557547262,0.6772344685011249
unet_resnet34_10ch,fliser,2,231902162,95413096,True,True,0.08144427514978841,0.2583536960167397,0.10629623194284839,0.15062130711914445
unet_resnet34_10ch,grus,3,206716845,401556363,True,True,0.12354783381269699,0.1665696005917854,0.32356861386888913,0.2199244751217121
unet_resnet34_10ch,ubefestet,4,10667088919,10876728987,True,True,0.9377774192055736,0.9585620753685512,0.9774006751204058,0.9678897172721025
unet_resnet34_10ch,green_roof,5,1430413,15087,True,True,7.610402728675306e-05,0.007291045270762908,7.69008670922314e-05,0.0001521964718090626
unet_resnet34_10ch,drivhus,6,531496,1839268,True,True,0.04230940018377423,0.052321901974046195,0.18106251034814938,0.08118395588932513
unet_resnet34_10ch,betonflade,7,89260373,7293223,True,True,0.0002220399870459754,0.002938892722737259,0.00024012895397602696,0.0004439813924693183
unet_resnet34_10ch,brosten,8,120321684,2127165,True,True,0.0003839075710762495,0.022090905030874426,0.0003905447333998417,0.0007675204852272641
unet_resnet34_10ch,unknown2,9,0,0,False,False,,,,
unet_resnet34_10ch,solceller,10,58625774,38428149,True,True,0.5730001141169101,0.9200037191486897,0.6030460254563121,0.7285442753303233
unet_resnet34_10ch_unw,asfalt,1,818756115,751182284,True,True,0.4975317876328007,0.6943557856857018,0.6370490008492944,0.6644690840509851
unet_resnet34_10ch_unw,fliser,2,231902162,88828906,True,True,0.09359250453995542,0.3090098058845845,0.11836458428533322,0.17116522681238974
unet_resnet34_10ch_unw,grus,3,206716845,431717414,True,True,0.11616877298446292,0.1539133003330739,0.32143994844735563,0.2081562856732599
unet_resnet34_10ch_unw,ubefestet,4,10667088919,10872717099,True,True,0.9458292003234244,0.9629676575474375,0.9815306683485986,0.9721605577367368
unet_resnet34_10ch_unw,green_roof,5,1430413,36353,True,True,1.7044590694607978e-05,0.0006877011525871317,1.7477469793688955e-05,3.4088600362975415e-05
unet_resnet34_10ch_unw,drivhus,6,531496,3,True,True,0.0,0.0,0.0,0.0
unet_resnet34_10ch_unw,betonflade,7,89260373,5737577,True,True,0.0004493694294830156,0.007436937229774869,0.00047803967836880984,0.0008983351746011362
unet_resnet34_10ch_unw,brosten,8,120321684,7263115,True,True,0.0019942060399726303,0.034960757195776196,0.0021103760482607606,0.003980474194265102
unet_resnet34_10ch_unw,unknown2,9,0,0,False,False,,,,
unet_resnet34_10ch_unw,solceller,10,58625774,37149083,True,True,0.5249444180613938,0.8874884744799757,0.5623701104568786,0.6884767888507524
unet_resnet34_6ch,asfalt,1,818756115,694235841,True,True,0.4143335057249585,0.6384513544583763,0.5413526749659757,0.5859063708069047
