job,cell,model,channels,weighting,fold,in_p03_scope,status,n_epochs,final_train_loss,final_valid_loss,best_valid_loss,best_valid_loss_epoch,final_valid_acc,best_valid_acc,best_valid_acc_epoch,final_lr,d_valid_loss_last3,d_valid_acc_last3,still_improving_loss,still_improving_acc
segformer_b1_rgb_fold1,segformer_b1_rgb,segformer_b1,rgb,weighted,1,True,ok,10,0.18317164480686188,0.17700013518333435,0.09934189915657043,2,0.9678980708122253,0.9831368923187256,4,2.000846828021166e-08,-0.09798124432563782,0.030387699604034424,False,False
segformer_b1_rgb_fold2,segformer_b1_rgb,segformer_b1,rgb,weighted,2,True,ok,10,0.24548450112342834,0.5899851322174072,0.4481514096260071,2,0.8939799666404724,0.9029756188392639,4,2.000846828021166e-08,0.12316083908081055,-0.004630148410797119,False,False
segformer_b1_rgb_fold0_unw,segformer_b1_rgb_unw,segformer_b1,rgb,unweighted,0,False,ok,10,0.07970868796110153,0.7217579483985901,0.6538798213005066,2,0.8484546542167664,0.8516250848770142,8,2.000846828021166e-08,-0.0036069154739379883,0.009987413883209229,False,False
segformer_b1_rgb_fold1_unw,segformer_b1_rgb_unw,segformer_b1,rgb,unweighted,1,False,ok,10,0.13546185195446014,0.18353520333766937,0.07100733369588852,0,0.9536842703819275,0.982692539691925,0,2.000846828021166e-08,0.032813966274261475,-0.006726086139678955,False,False
segformer_b1_rgb_fold2_unw,segformer_b1_rgb_unw,segformer_b1,rgb,unweighted,2,False,ok,10,0.1078413873910904,0.484713613986969,0.35298043489456177,2,0.8951173424720764,0.9073858857154846,2,2.000846828021166e-08,0.05904361605644226,-0.0021582841873168945,False,False
segformer_b1_6ch_fold0,segformer_b1_6ch,segformer_b1,6ch,weighted,0,True,ok,10,0.08547083288431168,1.4588358402252197,1.0540567636489868,1,0.814042866230011,0.8374032378196716,4,2.000846828021166e-08,0.2204214334487915,-0.008160173892974854,False,False
segformer_b1_6ch_fold1,segformer_b1_6ch,segformer_b1,6ch,weighted,1,True,ok,10,0.14097554981708527,0.13945767283439636,0.10591651499271393,7,0.9814003109931946,0.9846702218055725,7,2.000846828021166e-08,0.033541157841682434,-0.0032699108123779297,False,False
segformer_b1_6ch_fold2,segformer_b1_6ch,segformer_b1,6ch,weighted,2,True,ok,10,0.12926249206066132,0.8101816177368164,0.544175386428833,5,0.8790283799171448,0.8790283799171448,9,2.000846828021166e-08,-0.07848924398422241,0.013250350952148438,False,True
segformer_b1_6ch_fold0_unw,segformer_b1_6ch_unw,segformer_b1,6ch,unweighted,0,False,ok,10,0.06374908983707428,1.100913166999817,0.7646832466125488,5,0.8182448744773865,0.8312939405441284,5,2.000846828021166e-08,0.09171760082244873,-0.011157870292663574,False,False
segformer_b1_6ch_fold1_unw,segformer_b1_6ch_unw,segformer_b1,6ch,unweighted,1,False,ok,10,0.13507959246635437,0.10031763464212418,0.09286228567361832,8,0.9816895723342896,0.9830813407897949,8,2.000846828021166e-08,-0.13852498680353165,0.015893280506134033,False,False
segformer_b1_6ch_fold2_unw,segformer_b1_6ch_unw,segformer_b1,6ch,unweighted,2,False,ok,10,0.1084161326289177,0.5306746363639832,0.37881359457969666,4,0.8861598372459412,0.8964753746986389,0,2.000846828021166e-08,0.028103172779083252,-0.0009352564811706543,False,False
segformer_b1_10ch_fold0,segformer_b1_10ch,segformer_b1,10ch,weighted,0,False,ok,10,0.07839055359363556,1.1727021932601929,1.0725842714309692,5,0.8382764458656311,0.840977668762207,7,2.000846828021166e-08,0.07155656814575195,-0.0027012228965759277,False,False
