cell,fold,macro_iou,macro_f1,overall_accuracy,source_file
swin_upernet_rgb_unw,1,0.25149743610057945,0.32382157656087446,0.961061328644699,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_rgb_unw\pooled_oof_metrics.json
swin_upernet_rgb_unw,2,0.31993913892000325,0.40025846273269317,0.9226073054033923,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_rgb_unw\pooled_oof_metrics.json
unet_resnet34_10ch,0,0.2785860283899673,0.3396846240917466,0.8418284334167927,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_10ch\pooled_oof_metrics.json
unet_resnet34_10ch,1,0.2709898829162954,0.338441578761068,0.9783529280093907,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_10ch\pooled_oof_metrics.json
unet_resnet34_10ch,2,0.23345649326390047,0.29089398103248054,0.870932700577972,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_10ch\pooled_oof_metrics.json
unet_resnet34_10ch_unw,0,0.2716854535094785,0.331988218026815,0.8489159048201607,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_10ch_unw\pooled_oof_metrics.json
unet_resnet34_10ch_unw,1,0.2519233256558834,0.3037297819331029,0.983230030286076,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_10ch_unw\pooled_oof_metrics.json
unet_resnet34_10ch_unw,2,0.220060220286863,0.27706507964048965,0.8658029077727567,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_10ch_unw\pooled_oof_metrics.json
unet_resnet34_6ch,0,0.28157098378563894,0.3438022702291279,0.8298266160283924,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_6ch\pooled_oof_metrics.json
unet_resnet34_6ch,1,0.22941416635961992,0.2912324395800994,0.9559409750534615,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_6ch\pooled_oof_metrics.json
unet_resnet34_6ch,2,0.23081426663809188,0.2911132634110331,0.873551530834536,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_6ch\pooled_oof_metrics.json
unet_resnet34_6ch_corrected,0,0.272829097370686,0.3244098913553819,0.8335808027840382,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_6ch_corrected\pooled_oof_metrics.json
