class,band,pixels,mean,std
green_roof,DSM,1430413,15.081704459227385,8.555689762663784
green_roof,DTM,1430413,9.801154314225355,7.990015418248127
drivhus,rgb_R,531496,120.60288694552735,53.58475789367504
drivhus,rgb_G,531496,128.2733115583184,52.34888132425412
drivhus,rgb_B,531496,129.93700987401598,50.970239633967715
drivhus,cir_b0_NIR,531496,121.30492421391695,56.036514142526414
drivhus,cir_b1_unused,531496,120.57392906061382,52.80671255153493
drivhus,cir_b2_unused,531496,128.2140317142556,51.24131839985087
drivhus,OrtoRGB_R,531496,130.80720080677935,45.53061917506835
drivhus,OrtoRGB_G,531496,135.73512312416275,45.040554109974934
drivhus,OrtoRGB_B,531496,135.3644862802354,44.125062573865534
drivhus,OrtoCIR_b0_NIR,531496,110.15053358821139,48.03135171143909
drivhus,OrtoCIR_b1_unused,531496,123.39725228411879,53.59041613182005
drivhus,OrtoCIR_b2_unused,531496,128.10406475307434,53.958509935613094
drivhus,DSM,531496,38.96312992583003,33.66932874408019
drivhus,DTM,531496,34.857548510918654,34.35685092043876
betonflade,rgb_R,89260373,150.9820646055333,36.87802993820876
betonflade,rgb_G,89260373,153.59440031692452,38.20470227959188
betonflade,rgb_B,89260373,153.58582676995982,34.37145586795019
betonflade,cir_b0_NIR,89260373,137.7020493069192,33.34049835606002
betonflade,cir_b1_unused,89260373,150.96615883511936,36.718864803816885
betonflade,cir_b2_unused,89260373,153.73879724880828,38.09744782311783
betonflade,OrtoRGB_R,89260373,196.39127613773246,49.846652477048266
betonflade,OrtoRGB_G,89260373,195.75704652276102,47.24796315168547
betonflade,OrtoRGB_B,89260373,194.4534964580531,44.52660944722301
betonflade,OrtoCIR_b0_NIR,89260373,167.26010377527774,48.05669104621849
betonflade,OrtoCIR_b1_unused,89260373,195.64422948355818,51.49288731342561
betonflade,OrtoCIR_b2_unused,89260373,195.23838585124443,48.63606701821447
betonflade,DSM,89260373,14.302158335992775,20.566566417288485
betonflade,DTM,89260373,14.111618182998575,20.55199183810487
brosten,rgb_R,120321684,113.53756008767297,58.40146497030643
brosten,rgb_G,120321684,116.40843439325533,53.96779282610036
brosten,rgb_B,120321684,119.85028013736908,45.97682598776582
brosten,cir_b0_NIR,120321684,105.29560603556712,62.2078379577421
brosten,cir_b1_unused,120321684,113.51491411140822,58.17606269407422
brosten,cir_b2_unused,120321684,116.47820308100076,53.70457597774818
brosten,OrtoRGB_R,120321684,147.21326982923543,64.30830293097569
brosten,OrtoRGB_G,120321684,144.57376608857967,59.9078526771981
brosten,OrtoRGB_B,120321684,146.45753398032562,51.70612579099361
brosten,OrtoCIR_b0_NIR,120321684,118.78643826161874,60.885080432599324
