filename,route,reason,dsm_dtm_offset_m,dsm_offset_from_rgb_m,dtm_offset_from_rgb_m,ndsm_value
O2021_82_20_1_0024_00005079_11000_6000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_20_1_0024_00005080_0_9000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_20_1_0024_00005078_0_3000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_21_1_0005_00001869_1000_1000.tif,82-21,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_22_1_0031_00000386_7000_6000.tif,82-22,DSM/DTM geotransform mismatch -- no co-located terrain model,359.8847037594124,359.8847037594124,0.0,0.0
O2021_82_16_1_0025_00005219_10cm_5000_2000.tif,82-16,DSM/DTM geotransform mismatch -- no co-located terrain model,110.67971810589327,110.67971810589327,0.0,0.0
O2021_82_20_1_0024_00005080_6000_10000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_20_1_0024_00005079_12000_8000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_83_25_1_0016_00002734_4000_4000.tif,83-25,DSM/DTM geotransform mismatch -- no co-located terrain model,680.4447075258944,0.0,680.4447075258944,0.0
O2021_82_21_1_0004_00002039_13000_3000.tif,82-21,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_19_1_0023_00005474_10000_6000.tif,82-19,DSM/DTM geotransform mismatch -- no co-located terrain model,538.5164807134504,538.5164807134504,0.0,0.0
O2021_82_20_1_0024_00005080_13000_9000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_21_1_0004_00002039_12000_2000.tif,82-21,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_20_1_0023_00004975_16000_0.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,1555.6349186104046,0.0,1555.6349186104046,0.0
O2021_82_20_1_0023_00004976_15000_0.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,1555.6349186104046,1555.6349186104046,0.0,0.0
O2021_82_20_1_0024_00005079_6000_10000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
