cell,macro_iou,macro_f1,overall_accuracy,evaluated_pixels,iou_unknown,iou_asfalt,iou_fliser,iou_grus,iou_ubefestet,iou_green_roof,iou_drivhus,iou_betonflade,iou_brosten,iou_unknown2,iou_solceller,fold_macro_iou_mean,fold_macro_iou_std,route_median_macro_iou,route_min,route_max,route_spread,route_std,n_routes_scored
swin_upernet_6ch_corrected,0.2955358483633255,0.3711335446434007,0.9254616838583355,12194633781,,0.5271594811542635,0.16333888497424479,0.16212866549684812,0.9539357770144096,0.0,0.0907139668588229,0.007691729489223163,0.058892817025282325,,0.6959613132568354,0.2933329980967288,0.012900198449568606,0.4224540390168018,0.17185032878801332,0.9997639824955115,0.8279136537074981,0.24911124550187663,16
swin_upernet_6ch_unw,0.29702765884888394,0.37163929670846396,0.9271945561511405,12194633781,,0.5398567418401244,0.15703003144351443,0.17987430297798515,0.9555974884616091,0.0010714136533882847,0.01264840481982357,0.10204950703661432,0.02934824699172673,,0.6957727924151692,0.2858283920235423,0.009458574409529177,0.4722297012956049,0.19882421299014874,0.9995780249282641,0.8007538119381153,0.2535552897979197,16
swin_upernet_rgb,0.29817191814481103,0.3897239180485555,0.9174672670721673,12194633781,,0.49467308499569596,0.20244376717269336,0.2183341981438819,0.9434721814107448,0.020314120142533067,0.11304608600524597,0.030183223853428552,0.07440270645910876,,0.586677895119967,0.29979999325205425,0.028365613337665487,0.4781830511681793,0.21425648273443995,0.9956150977386306,0.7813586150041906,0.24479340842888306,16
swin_upernet_rgb_unw,0.3183258275593475,0.40252083462072397,0.9268666412607213,12194633781,,0.5401231524261352,0.2046897965652536,0.20696852308319041,0.9537667882024125,0.008515120695738808,0.036466111084348954,0.08700000688244706,0.09083455911916369,,0.7365683899754376,0.3020242326573703,0.04437024016865605,0.4991568372330556,0.22455430432177534,0.9975721796857691,0.7730178753639937,0.2469722680018942,16
unet_resnet34_10ch,0.2523049836230148,0.31408465528702645,0.9095372486118614,12194633781,,0.5119837585529804,0.08144427514978841,0.12354783381269699,0.9377774192055736,7.610402728675306e-05,0.04230940018377423,0.0002220399870459754,0.0003839075710762495,,0.5730001141169101,0.26101080152338774,0.024163097571678022,0.35688238109949155,0.1813302184704373,0.9991446107264637,0.8178143922560264,0.263970232938572,16
unet_resnet34_10ch_unw,0.24228081151135417,0.3010378712325948,0.9117801270361905,12194633781,,0.4975317876328007,0.09359250453995542,0.11616877298446292,0.9458292003234244,1.7044590694607978e-05,0.0,0.0004493694294830156,0.0019942060399726303,,0.5249444180613938,0.24788966648407496,0.026047917019564073,0.29904572087418846,0.15804110503772228,0.9975513545415458,0.8395102495038235,0.27000840196602777,16
unet_resnet34_6ch,0.24769933999388602,0.3134093423160293,0.8977464573029805,12194633781,,0.4143335057249585,0.09741145802410764,0.11771831387214647,0.937492765878692,0.0,0.07388612628627034,5.52833987691588e-05,0.0002365086777015792,,0.5881600980823284,0.24726647226111695,0.029716825257747385,0.3378665473926228,0.17433217078583851,0.9996964364162827,0.8253642656304442,0.27042137666073046,16
unet_resnet34_6ch_corrected,0.20251861006969976,0.25939658651741654,0.879703852174255,12194633781,,0.3854391638255317,0.08247168571894203,0.060889578231786146,0.9231654456446867,0.0,0.003984570124333724,0.00024185980191168514,0.0067450247079582065,,0.3597301625721475,0.22097766425531365,0.04631786746295712,0.39082665751455115,0.14190374069005862,0.9996712421266859,0.8577675014366273,0.26413665610992365,16
unet_resnet34_6ch_unw,0.24313710530305846,0.3041150558778402,0.9027292146445476,12194633781,,0.4397330270832366,0.1153923166617278,0.11326871005701065,0.941866180418328,0.0,0.0,0.0008180950466317979,0.010421030665738512,,0.5667345877948529,0.23878980282094942,0.034239899909569396,0.34467339986863504,0.1772178573772475,0.9995783463998466,0.8223604890225991,0.2713344188645485,16
unet_resnet34_rgb,0.2694505591767507,0.3454182485663936,0.897261824381145,12194633781,,0.49898583342299707,0.15688927386006532,0.13614883184086454,0.9289722539853827,0.000623868365045583,0.08493003138700259,0.030085948514607913,0.009993117622354135,,0.5784258735924365,0.267924503645857,0.06239128570099071,0.38887289449405277,0.20100611410249478,0.9986472822377732,0.7976411681352784,0.2694127466856046,16
